Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Job Manahan,@manahan_job,2025-07-08T11:48:10.000Z,False,"LOOK: Comelec publishes SOCE of senatorial candidates, partylists, and political parties this #Halalan2025.  

Details on contributions received, expenditures incurred, total of ""lawful expenditures"" are so far available on the Comelec website. ",0,0,1,152,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1831220050222821376/4_wYzkv9_bigger.jpg,https://x.com/manahan_job/status/1942551280465183013,tweet_id:1942551280465183013
Jesus Falcis,@jesusfalcis,2025-07-14T06:05:15.000Z,True,"A picture is worth a thousand words.

From Governor Vilma Santos' face to Luis Manzano looking at the man who defeated him for the Vice Governorship - Dodo Mandanas.

If you're into Batangas politics, this would be very intriguing to you.#Batangas#Halalan2025",4,5,54,4.8K,"['#Batangas', '#Halalan2025']",[],[],https://pbs.twimg.com/profile_images/822541032084688896/BgXtfmoR_bigger.jpg,https://x.com/jesusfalcis/status/1944639308536938536,tweet_id:1944639308536938536
Cleve V. Arguelles,@CleveArguelles,2025-05-19T08:00:30.000Z,True,Four of the top 10 partylists this #Halalan2025 are regional parties or partylists with most of its votes coming from only one or two core regions. The rest are either sectoral or national partylists with most of its votes drawn from a combination of the vote richest regions of,2,10,89,6.2K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1736587454008983553/jMG0b9UQ_bigger.jpg,https://x.com/CleveArguelles/status/1924374593533595698,tweet_id:1924374593533595698
Nusa,@1nusa2,2025-07-04T13:58:31.000Z,False,"Salut Ama abang² ini ....
Semangat para pejuang pencari rezeki halal dan berkah untuk keluarga.#IndonesiaSwasembadaPangan#halalan2025#محرم_١٤٤٧هـ",0,2,13,457,"['#IndonesiaSwasembadaPangan', '#halalan2025', '#محرم_١٤٤٧هـ']",[],[],https://pbs.twimg.com/profile_images/1934374437161439232/nxfmTKS2_bigger.jpg,https://x.com/1nusa2/status/1941134530611753433,tweet_id:1941134530611753433
Jesus Falcis,@jesusfalcis,2025-06-30T06:08:55.000Z,True,"Good news: Uupong Congressman na today si Chel Diokno and De Lima.

Good news pa din: Hindi uupo ang Duterte Youth. #Halalan2025#Akbayan",37,927,7.8K,107K,"['#Halalan2025', '#Akbayan']",[],['\\U0001f44a'],https://pbs.twimg.com/profile_images/822541032084688896/BgXtfmoR_bigger.jpg,https://x.com/jesusfalcis/status/1939566800787947745,tweet_id:1939566800787947745
EU EOM Philippines 2025,@EUeomPH2025,2025-07-03T10:04:26.000Z,False,"Highlights from the speech of EU EOM Chief Observer Marta Temido. Today, she presented the Final Report of the EU mission, which includes 21 recommendations aimed at enhancing transparency, fostering participation and consolidating the legal framework.#Philippines #Halalan2025",0,1,4,110,"['#Philippines', '#Halalan2025']",[],[],https://pbs.twimg.com/profile_images/1900236514488897537/2hULzKA1_bigger.jpg,https://x.com/EUeomPH2025/status/1940713236023886204,tweet_id:1940713236023886204
WR Numero,@WR_Numero,2025-05-17T06:44:58.000Z,False,NOW HAPPENING: Prof.  of WR Numero joins ABS-CBN News' Special Coverage of the proclamation of winning Senators in #Halalan2025 — now live!,1,1,10,622,['#Halalan2025'],['@CleveArguelles'],[],https://pbs.twimg.com/profile_images/1943273769960652800/Sg7F31bQ_bigger.jpg,https://x.com/WR_Numero/status/1923630807153074444,tweet_id:1923630807153074444
Cleve V. Arguelles,@CleveArguelles,2025-05-17T12:27:18.000Z,True,And that’s a wrap for #Halalan2025. First on air as the voting precincts opened on 12 May morning and signed off as we proclaimed our new Senators-elect today 17 May afternoon. Lots of thank you notes to write in the coming days but for now we rescue the weekend. Maraming,7,1,272,7.1K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1736587454008983553/jMG0b9UQ_bigger.jpg,https://x.com/CleveArguelles/status/1923716956877898060,tweet_id:1923716956877898060
Job Manahan,@manahan_job,2025-06-17T08:11:15.000Z,False,"PANOORIN: Pinangunahan ng Comelec ang pagde-delete ng data files ng ballot face, VIS nito sa mga server ng National Printing Office matapos ang #Halalan2025.

Bakit nga ba ito kailangan gawin? Alamin ang ilang detalye sa selfie patrol na ito. ",0,0,2,277,['#Halalan2025'],['@abscbnnews'],[],https://pbs.twimg.com/profile_images/1831220050222821376/4_wYzkv9_bigger.jpg,https://x.com/manahan_job/status/1934886544114168253,tweet_id:1934886544114168253
EU EOM Philippines 2025,@EUeomPH2025,2025-07-03T14:08:31.000Z,False,"The Manila Bulletin reports on the press conference of the EU Election Observation Mission.
Chief Observer Marta Temido presented a 106-page report, which includes 21 recommendations to improve future elections in the Philippines.mb.com.ph/2025/07/03/in-
…#Halalan2025",0,1,5,56,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1900236514488897537/2hULzKA1_bigger.jpg,https://x.com/EUeomPH2025/status/1940774660435804204,tweet_id:1940774660435804204
Paige Javier,@PaigeJavier,2025-05-26T02:43:31.000Z,False,"LOOK: Lawmakers from the Makabayan bloc file House Resolution No. 2291 seeking a probe on the automated election system and other issues during #Halalan2025 

They cited reports from poll watchdogs of alleged technical issues and voter disenfranchisement. ",1,0,0,235,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1946897004023472128/O8i0u-yy_bigger.jpg,https://x.com/PaigeJavier/status/1926831533379252274,tweet_id:1926831533379252274
TitoTok #HoldTheLine,@TitoTok88,2025-05-19T03:05:23.000Z,False,"No public info on Duterte Youth’s 2nd & 3rd nominees—rumored PMA/PNPA grads. Were they dismissed from service? Now eyeing politics? Just asking.  #Halalan2025 #DisqualifyDuterteYouth  facebook.com/share/p/12E6QU
…",2,6,17,5.2K,"['#Halalan2025', '#DisqualifyDuterteYouth']",[],['\\U0001f914'],https://pbs.twimg.com/profile_images/1950072015182053376/r4Vy6hfH_bigger.jpg,https://x.com/TitoTok88/status/1924300323168076126,tweet_id:1924300323168076126
MessMinchin_BINIChella,@MessMinchin3,2025-05-17T23:26:01.000Z,False,It is your right naman to demand a recount pero sana tanggapin na lang. #BeGraciousInDefeat #Halalan2025,3,7,77,11K,"['#BeGraciousInDefeat', '#Halalan2025']",[],[],https://pbs.twimg.com/profile_images/1643443147132002305/O5YOVT6e_bigger.jpg,https://x.com/MessMinchin3/status/1923882731869700352,tweet_id:1923882731869700352
Job Manahan,@manahan_job,2025-06-11T05:22:20.000Z,False,Manibela chairman and #Halalan2025 senatorial candidate Mar Valbuena submits his SOCE here at the Palacio del Gobernador. ,1,0,1,229,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1831220050222821376/4_wYzkv9_bigger.jpg,https://x.com/manahan_job/status/1932669708433830086,tweet_id:1932669708433830086
