Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
,@ninivrsz,2025-05-12T13:16:46.000Z,False,"Lord, let the good governance win this time pls pls  #Halalan2025",4,5.8K,20K,601K,['#Halalan2025'],[],"['\\U0001f979', '\\u2728', '\\U0001f64f\\U0001f3fb']",https://pbs.twimg.com/profile_images/1969631663216082949/U7-Y7Mj4_bigger.jpg,https://x.com/ninivrsz/status/1921917467032436896,tweet_id:1921917467032436896
jo,@koomiinaii,2025-05-12T13:37:46.000Z,False,ANG TATANGA NIYOOOOOOO#Halalan2025 #Eleksyon2025,183,35K,82K,1.5M,"['#Halalan2025', '#Eleksyon2025']",[],[],https://pbs.twimg.com/profile_images/1953714001483116544/Tiw92Zyh_bigger.jpg,https://x.com/koomiinaii/status/1921922751985553898,tweet_id:1921922751985553898
g,@gwaitots,2025-05-12T13:35:46.000Z,False,Sana kaya pa late game #Halalan2025,146,15K,43K,666K,['#Halalan2025'],[],"['\\U0001f62d', '\\U0001f62d', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1703664504520019968/qxrKWcu5_bigger.jpg,https://x.com/gwaitots/status/1921922248295800980,tweet_id:1921922248295800980
Hlina Hassen,@hlina_hassen,2025-09-26T12:44:51.000Z,False,"""መስቀል ኀይልነ መስቀል ጽንዕነ ፤ መስቀል መድኃኒተ ነፍስነ ፤ አይሁድ ክሕዱ ንሕነሰ አመነ ፤ ወእለ አመነ በመስቀሉ ድኅነ።""#መልክዐ_ቅዱስ_መስቀል #ደመራ ",0,0,0,6,"['#መልክዐ_ቅዱስ_መስቀል', '#ደመራ']",[],"['\\u2728', '\\u2728', '\\U0001f4d6', '\\u2728', '\\u2728']",https://pbs.twimg.com/profile_images/1962811102548381696/repTQKXX_bigger.jpg,https://x.com/hlina_hassen/status/1971556574562013307,tweet_id:1971556574562013307
eggshell ,@dxryllxlbx,2025-05-12T12:10:11.000Z,False,Aiming for good governance since 2022. #Halalan2025,17,6.3K,21K,460K,['#Halalan2025'],[],"['\\U0001fa77', '\\U0001f49a', '\\U0001f49c']",https://pbs.twimg.com/profile_images/1924500551003406336/A0_ZyooO_bigger.jpg,https://x.com/dxryllxlbx/status/1921900711190712638,tweet_id:1921900711190712638
Drag Fans Philippines,@DragFansPH,2025-05-12T16:10:21.000Z,True,2022                                     2025#Halalan2025,4,388,2.4K,38K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1939717190657474560/DOTjTzl0_bigger.jpg,https://x.com/DragFansPH/status/1921961152923218135,tweet_id:1921961152923218135
,@leinpop,2025-05-12T15:15:00.000Z,False,sila naman ang ipanalo natin sa susunod na halalan  #Halalan2025,51,10K,37K,1.7M,['#Halalan2025'],[],['\\U0001f97a'],https://pbs.twimg.com/profile_images/1921046235659616256/TtIm6xPE_bigger.jpg,https://x.com/leinpop/status/1921947223509676250,tweet_id:1921947223509676250
𝒜,@belindoll,2025-05-12T13:38:34.000Z,False,FINALLY MAY KASAMA KA NA SEN RISA #Halalan2025,154,27K,88K,1.7M,['#Halalan2025'],[],"['\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1968492766704570368/xCyr5Xb-_bigger.jpg,https://x.com/belindoll/status/1921922953324720149,tweet_id:1921922953324720149
AltIndayBadiday,@AltIndayBadiday,2025-05-12T14:48:14.000Z,False,PANALO NATİN ITO!!!#Halalan2025,6,317,3.1K,43K,['#Halalan2025'],[],"['\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f338', '\\U0001f338', '\\U0001f338']",https://pbs.twimg.com/profile_images/1963132203648634880/PC_v0C4f_bigger.jpg,https://x.com/AltIndayBadiday/status/1921940485947412480,tweet_id:1921940485947412480
ᜀ ᜃᜓ ᜐᜒ ᜇ᜔ᜌᜓᜈ᜔,@iam_jniest,2025-05-12T06:22:18.000Z,False,2022:                                           2025:#Halalan2025,2,2.5K,14K,334K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1573544201887023105/G01bzjfw_bigger.jpg,https://x.com/iam_jniest/status/1921813164024328478,tweet_id:1921813164024328478
