Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Rappler,@rapplerdotcom,2025-04-14T05:45:19.000Z,True,"One breezy February afternoon in San Jose Del Monte City, the Marcos slate Alyansa campaigned in the vote-rich province, and Camille Villar, heiress to the business and political empire, promised all the basic needs — housing, jobs, etc. — except for one: water. #PHVote 

Read",121,644,1.4K,79K,['#PHVote'],[],[],https://pbs.twimg.com/profile_images/1583252893368717313/wUCmGve8_bigger.jpg,https://x.com/rapplerdotcom/status/1911656998602481825,tweet_id:1911656998602481825
Kiko Pangilinan,@kikopangilinan,2025-02-20T01:01:03.000Z,True,"Maraming salamat, mga kabataang San Joseño! Ayon sa independent online survey ng Angat Kabataang San Joseño, tayo ang nanguna sa senatorial preferences ng kabataan sa San Jose del Monte, Bulacan para sa #Halalan2025!

Mahalaga ang boses ng kabataan sa darating na halalan! ",3,40,213,5K,['#Halalan2025'],[],"['\\U0001f64c', '\\U0001f49a']",https://pbs.twimg.com/profile_images/1921354862518042624/k0vJln9o_bigger.jpg,https://x.com/kikopangilinan/status/1892378899537154080,tweet_id:1892378899537154080
#PunchTheLies,@PunchTheLies,2024-10-27T08:39:29.000Z,True,"Nagtataka pa ba kayo kung bakit lubog ang Bicol?

Oct 13: 11 Chinese, arestado sa illegal mining sa Camarines Norte. Ayon sa report, hindi lamang ito ang iilegal mining sa Camarines. Meron din sa Jose Panganiban, atbp.

Gising! Dapat alam n’yo na ang gawin n’yo sa #halalan2025!",30,409,1K,92K,['#halalan2025'],[],[],https://pbs.twimg.com/profile_images/1527031033975152647/yVnjD_ie_bigger.jpg,https://x.com/PunchTheLies/status/1850457276345106442,tweet_id:1850457276345106442
