Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
PCIJ,@PCIJdotOrg,2025-05-09T05:59:21.000Z,False,"Villar, Marcos, Binay, Tolentino, Dela Rosa, Abalos, Revilla, and Go. Based on data from Nielsen Ad Intel from January 2024 to March 2025. #phvoteRead our report: pcij.org/2025/05/09/8-s
…",1,39,37,10K,['#phvote'],[],[],https://pbs.twimg.com/profile_images/1785506948806557696/8NPZK8F2_normal.jpg,https://x.com/PCIJdotOrg/status/1920720226498249021,tweet_id:1920720226498249021
Angela Baron,@_rainbowfighter,2025-04-12T09:51:48.000Z,False,I expect  to allow the arrests of Bato Dela Rosa and Bong Go after #Halalan2025 if and when the  issues the warrants for their arrests. ,2,3,19,396,['#Halalan2025'],"['@SayChiz', '@IntlCrimCourt', '@KarimKhanQC']",[],https://pbs.twimg.com/profile_images/1967760063143219203/QnDHtdWP_normal.jpg,https://x.com/_rainbowfighter/status/1910994251971801135,tweet_id:1910994251971801135
ABS-CBN News,@ABSCBNNews,2025-03-26T08:00:00.000Z,True,WATCH: PNP spokesperson Jean Fajardo clarifies that the removal of two police officers assigned to Senator Ronald dela Rosa was in accordance with a resolution from the Comelec. #Halalan2025 | via ,49,25,194,37K,['#Halalan2025'],['@michael_delizo'],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_normal.jpg,https://x.com/ABSCBNNews/status/1904805523297624158,tweet_id:1904805523297624158
iMPACT Leadership,@iMPACTPH2019,2025-03-12T07:19:07.000Z,True,"'WALANG KWENTA KANG SENADOR'

PANOORIN: Ipinaliwanag ni Chris Tan sa kanyang vlog kung bakit hindi niya iboboto si Sen. Bato Dela Rosa bilang senador sa #Halalan2025. Sang-ayon ba kayo sa kanya? Contributed video",84,905,3.4K,110K,['#Halalan2025'],[],['\\U0001f4fd\\ufe0f'],https://pbs.twimg.com/profile_images/1713681702726651904/8YeAQ_vn_normal.jpg,https://x.com/iMPACTPH2019/status/1899721800684384472,tweet_id:1899721800684384472
ABS-CBN News,@ABSCBNNews,2025-02-05T08:11:56.000Z,True,"Para kay Ronald “Bato” dela Rosa, wala siyang ibang intensyon kundi magserbisyo sa muling pagtakbo niya bilang senador sa #Halalan2025.  

Ang mga nais niya pang gawin at pananaw sa iba-ibang usapin, alamin sa Harapan 2025, na mapanonood sa ABS-CBN News Channel ang replay alas-10",352,94,244,55K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_normal.jpg,https://x.com/ABSCBNNews/status/1887051518484111778,tweet_id:1887051518484111778
Thirty One Million,@31milmovement,2025-01-26T20:25:02.000Z,True,"SEE YOU ICC!  HINDI KA VIP ACTING LIKE A #spoiledbratSen. Bato dela Rosa warns PBBM ADMIN to protect him and Filipinos from the ICC and Interpol, stressing failure could lead to impeachment of PBBM.

Vote wisely sa #Halalan2025BIG NO TO PRO-CHINA",13,32,125,2.5K,"['#spoiledbrat', '#Halalan2025']",[],['\\U0001f602'],https://pbs.twimg.com/profile_images/1546719549881745409/mGVKFfP8_normal.jpg,https://x.com/31milmovement/status/1883612129661726744,tweet_id:1883612129661726744
ABS-CBN News,@ABSCBNNews,2025-01-13T06:34:19.000Z,True,"Sen. Ronald Dela Rosa attends INC’s National Rally for Peace, says he is not here to court the #Halalan2025 endorsement of the religious group, which has a bloc voting practice.  Dela Rosa adds their camp only reacts to criticism, and does not sow division in government. | via",587,349,610,288K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_normal.jpg,https://x.com/ABSCBNNews/status/1878692031264182499,tweet_id:1878692031264182499
Roentgen,@ronaldgem,2024-12-30T16:10:43.000Z,False,"Last day of the year. Iwan na natin sina Pia Cayetano, Bato Dela Rosa, Bong Go, Lito Lapid, Imee Marcos, Bong Revilla, Francis Tolentino, Camille Villar, at lahat ng mga trapo at miyembro ng mga political dynasty sa 2024. Huwag na natin silang iboto sa #Halalan2025.",17,1.8K,4K,98K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1928738836429131776/dW7AkuZ3_normal.jpg,https://x.com/ronaldgem/status/1873763656162480360,tweet_id:1873763656162480360
Roentgen,@ronaldgem,2024-10-28T14:28:37.000Z,False,"Kung ang tanging silbi nina ""Sens."" Bato Dela Rosa, Bong Go at Francis Tolentino ay ipagtanggol si Duterte, wag na lang silang iboto sa #Halalan2025. Mag-apply na lang silang security ni Duterte. O kaya samahan na lang nila si Duterte sa ICC.",1,8,49,976,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1928738836429131776/dW7AkuZ3_normal.jpg,https://x.com/ronaldgem/status/1850907527527203184,tweet_id:1850907527527203184
Rappler,@rapplerdotcom,2024-10-04T01:04:17.000Z,True,"The near-complete senatorial slate of Makabayan:

Jerome Adonis 
Jocealyn Andamo 
Ronnel Arambulo 
Rep. Arlene Brosas 
Ex-rep. Teddy Casiño 
Rep. France Castro Mimi Doringo 
Mody Floranda 
Amirah Lidasan
Ex-rep. Liza Maza 
Danilo Ramos #PHVote #BeTheChange | Dwight de Leon via",1,78,132,12K,"['#PHVote', '#BeTheChange']",[],[],https://pbs.twimg.com/profile_images/1583252893368717313/wUCmGve8_normal.jpg,https://x.com/rapplerdotcom/status/1842007801302024704,tweet_id:1842007801302024704
Philstar.com,@PhilstarNews,2024-10-03T06:11:18.000Z,True,"'KUNG SILA AY NANINIWALA NA SI BATO AY MASAMANG TAO, THEN PLEASE BY ALL MEANS, DO NOT VOTE FOR ME'

Reelectionist Sen. Ronald dela Rosa believes #Eleksyon2025 will serve as the consensus on whether people still believe he is a ""decent person"" amid the International Criminal",271,70,204,30K,['#Eleksyon2025'],[],[],https://pbs.twimg.com/profile_images/1680030555533094914/SYPGXvTB_normal.png,https://x.com/PhilstarNews/status/1841722677763227752,tweet_id:1841722677763227752
ABS-CBN News,@ABSCBNNews,2024-10-02T05:04:34.000Z,True,"Naghain na ng COC si Sta. Rosa City, Laguna Mayor Arlene Arcillas para sa kaniyang huling termino. 

Naghain din ng COC ang kaniyang kapatid na si Vice Mayor Arnold Arcillas para sa 2nd term. | via  #Halalan2025",8,6,41,46K,['#Halalan2025'],['@Dennis_Datu'],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_normal.jpg,https://x.com/ABSCBNNews/status/1841343494109172012,tweet_id:1841343494109172012
Angela Baron,@_rainbowfighter,2024-09-30T20:26:15.000Z,True,"Pebbles dela Rosa   

These three reelectionists are friends / supporters of pastor-fugitive-now-detained Apollo Quiboloy. 

ZERO VOTES  TO FRIENDS OF AN ALLEGED RAPIST, MONEY LAUNDERER AND HUMAN TRAFFICKER!!! #Halalan2025",5,26,73,1.5K,['#Halalan2025'],"['@SenImeeMarcos', '@SenatorBongGo']",['\\U0001f5f3\\ufe0f'],https://pbs.twimg.com/profile_images/1967760063143219203/QnDHtdWP_normal.jpg,https://x.com/_rainbowfighter/status/1840850669382877523,tweet_id:1840850669382877523
iMPACT Leadership,@iMPACTPH2019,2024-09-29T15:45:50.000Z,True,"PDP FIELDS SALVADOR, DELA ROSA, GO FOR SENATE

The once-ruling Partido Demokratiko Pilipino, chaired by former President Rodrigo Duterte, has formally announced the senatorial candidacies of actor Philip Salvador and reelectionists Bato Dela Rosa and Bong Go for #Halalan2025.",72,28,28,11K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1713681702726651904/8YeAQ_vn_normal.jpg,https://x.com/iMPACTPH2019/status/1840417713287754047,tweet_id:1840417713287754047
ABS-CBN News,@ABSCBNNews,2024-09-20T14:43:19.000Z,True,"LOOK: PDP Laban announces the nomination of Senators Christopher “Bong” Go and Ronald “Bato” Dela Rosa, as well as celebrity Philip Salvador, as part of the party’s senatorial lineup in the upcoming #Halalan2025.

The party also named Senator Robin Padilla as their national",780,296,440,124K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_normal.jpg,https://x.com/ABSCBNNews/status/1837140489608548838,tweet_id:1837140489608548838
ARPAK - Artista ng Rebolusyong Pangkultura,@arpakph,2024-08-27T06:50:15.000Z,False,"Pakinggan ang pahayag ni Mimi Doringo, secretary general ng Kalipunan ng Damayang Mahihirap o Kadamay bilang kandidato sa pagkasenador sa darating na #Eleksyon2025.",1,6,16,373,['#Eleksyon2025'],[],[],https://pbs.twimg.com/profile_images/1535158066857267201/teqTjlrl_normal.jpg,https://x.com/arpakph/status/1828324129420009899,tweet_id:1828324129420009899
