Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
NewsWatch Plus PH,@newswatchplusph,2025-05-09T13:43:44.000Z,True,"""HINDI TAYO AATRAS""

WATCH: President Bongbong Marcos asserts the Philippines will not retreat in defending its territory, even against powerful foreign forces. |  RTVM#VoteWatch #Eleksyon2025",17,36,189,21K,"['#VoteWatch', '#Eleksyon2025']",['@TristanNodalo'],['\\U0001f3a5'],https://pbs.twimg.com/profile_images/1886646668541747203/cfuXSCAM_normal.jpg,https://x.com/newswatchplusph/status/1920837089299489014,tweet_id:1920837089299489014
Tristan Nodalo,@TristanNodalo,2025-05-09T13:28:48.000Z,True,"""HINDI TAYO AATRAS""

WATCH: President Bongbong Marcos asserts the Philippines will not retreat in defending its territory, even against powerful foreign forces.  RTVM#VoteWatch #Eleksyon2025",11,41,170,6.9K,"['#VoteWatch', '#Eleksyon2025']",['@newswatchplusph'],['\\U0001f3a5'],https://pbs.twimg.com/profile_images/1917907146580320256/RHFrzTQ__normal.jpg,https://x.com/TristanNodalo/status/1920833333375693268,tweet_id:1920833333375693268
PCIJ,@PCIJdotOrg,2025-05-09T05:59:21.000Z,False,"Villar, Marcos, Binay, Tolentino, Dela Rosa, Abalos, Revilla, and Go. Based on data from Nielsen Ad Intel from January 2024 to March 2025. #phvoteRead our report: pcij.org/2025/05/09/8-s
…",1,39,37,10K,['#phvote'],[],[],https://pbs.twimg.com/profile_images/1785506948806557696/8NPZK8F2_normal.jpg,https://x.com/PCIJdotOrg/status/1920720226498249021,tweet_id:1920720226498249021
Jesus Falcis,@jesusfalcis,2025-05-07T12:00:05.000Z,True,"LOOK: Senator Imee Marcos suffers third degree burns after Karen Davila calls out her hypocrisy and lies.

P.S. Can someone edit this and attach the Robert Wilde ending soundtrack na kenkoy in the end haha#ImeeProblema#Halalan2025",247,4.6K,22K,979K,"['#ImeeProblema', '#Halalan2025']",[],[],https://pbs.twimg.com/profile_images/822541032084688896/BgXtfmoR_normal.jpg,https://x.com/jesusfalcis/status/1920086229216841823,tweet_id:1920086229216841823
习近平肏你妈!,@DettWangle,2025-05-07T03:57:26.000Z,False,"Mga DDShits, want to expose the Marcos admin's illicit practices? Then vote for ! 
BOBO mga Duter10 candidates ninyo. Hindi nila mahahanapan ng butas si BBM like Heidi can.

DON'T #BringPRRDHome  
DON'T #VoteStraightDuterTen #Halalan2025",1,5,31,897,"['#BringPRRDHome', '#VoteStraightDuterTen', '#Halalan2025']",['@HeidiMendoza45'],"['\\U0001f4a9', '\\U0001f921']",https://pbs.twimg.com/profile_images/1625779868679159808/vyLnPsYJ_normal.jpg,https://x.com/DettWangle/status/1919964766908416480,tweet_id:1919964766908416480
ABS-CBN News,@ABSCBNNews,2025-05-06T04:56:15.000Z,True,"READ: Proclamation 878, declaring Monday, May 12, 2025 a special non-working holiday throughout the country for #Halalan2025. | via Full story: abs-cbn.com/news/nation/20
…",1,140,273,30K,['#Halalan2025'],['@pia_gutierrez'],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_normal.jpg,https://x.com/ABSCBNNews/status/1919617181438136802,tweet_id:1919617181438136802
ABS-CBN News,@ABSCBNNews,2025-05-06T03:50:46.000Z,True,"JUST IN: President Ferdinand Marcos Jr. to declare May 12, 2025 as a national holiday for #Halalan2025, according to Malacañang. | via Read: abs-cbn.com/news/nation/20
…",20,233,943,110K,['#Halalan2025'],['@pia_gutierrez'],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_normal.jpg,https://x.com/ABSCBNNews/status/1919600702646898919,tweet_id:1919600702646898919
ABS-CBN News,@ABSCBNNews,2025-05-03T08:30:00.000Z,True,"Umapela si Senador Imee Marcos sa Comelec na higpitan ang regulasyon sa mga lumalabas na survey na nagagamit umano sa ""brainwashing"" at ""mind-setting"" sa #Halalan2025.

Sumadsad ang numero ni Marcos sa pinakahuling pre-election survey, ngunit hindi umano siya nakikinig dito.",194,46,144,39K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_normal.jpg,https://x.com/ABSCBNNews/status/1918583809366474939,tweet_id:1918583809366474939
Detective Mask 名探偵マスク,@DetectiveMask,2025-04-27T06:53:47.000Z,False,"Leni better hope the final Top 12 doesn't end up with Marcoleta, Pacquiao, or Abalos at #12, and either Kiko or Bam at #13.

Because if that happens... 
Boy oh boy, MAGWA-WARLA ang mga tao.#Halalan2025",8,28,156,6.7K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1953317529147064321/FvP6R5yU_normal.jpg,https://x.com/DetectiveMask/status/1916385270892540137,tweet_id:1916385270892540137
Angela Baron,@_rainbowfighter,2025-04-24T23:14:03.000Z,False,"Many #Kakampinks are suggesting to go Alyansa slate minus Imee and Camille PLUS Bam and Kiko.

For strategic reasons. 

What do you think? #Halalan2025 #NumbersGame",56,32,190,18K,"['#Kakampinks', '#Halalan2025', '#NumbersGame']",[],[],https://pbs.twimg.com/profile_images/1967760063143219203/QnDHtdWP_normal.jpg,https://x.com/_rainbowfighter/status/1915544796170731950,tweet_id:1915544796170731950
