Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
jo,@koomiinaii,2025-05-12T13:37:46.000Z,False,ANG TATANGA NIYOOOOOOO#Halalan2025 #Eleksyon2025,183,35K,82K,1.5M,"['#Halalan2025', '#Eleksyon2025']",[],[],https://pbs.twimg.com/profile_images/1953714001483116544/Tiw92Zyh_bigger.jpg,https://x.com/koomiinaii/status/1921922751985553898,tweet_id:1921922751985553898
PAGASA-DOST,@dost_pagasa,2025-09-26T12:03:59.000Z,True,"Heavy Rainfall Warning No. 7 #NCR_PRSDWeather System: Severe Tropical Storm OPONG
Issued at: 8:00 PM, 26 September 2025(Friday)

YELLOW WARNING LEVEL: Batangas(Calatagan, Balayan, Lian, Nasugbu, Tuy, Calaca, Mabini, Tingloy, Bauan, San Luis, Taal, Lemery, Agoncillo, Laurel, San",0,1,4,317,['#NCR_PRSD'],[],[],https://pbs.twimg.com/profile_images/1907656520868966402/Hhz8apng_bigger.jpg,https://x.com/dost_pagasa/status/1971546289960890373,tweet_id:1971546289960890373
Thomas Tayebwa,@Thomas_Tayebwa,2025-09-23T10:37:12.000Z,True,"Mr. President , your leadership has liberated Uganda, driven the country’s progress, and continues to prepare us for a brighter future. Congratulations, on your nomination as the  candidate for the 2026 presidential elections. As we embark on a journey to",81,172,866,35K,[],"['@KagutaMuseveni', '@NRMOnline']",[],https://pbs.twimg.com/profile_images/1570245593376722946/tHrarCzG_bigger.jpg,https://x.com/Thomas_Tayebwa/status/1970437286375346447,tweet_id:1970437286375346447
ThePersistence,@ScottPresler,2025-09-25T16:18:37.000Z,True,"HOLY COW!

Pennsylvania Democrats are PETRIFIED!

DNC is spending considerable $ on the PA Supreme Court elections this November. 

I’ve been talking about this for over one year!

To anyone w/ big pockets in PA, we have a very real chance to defeat 3 Justices in ONE election.",549,9K,22K,183K,[],[],[],https://pbs.twimg.com/profile_images/1321124227215491072/pIC0lG5M_bigger.jpg,https://x.com/ScottPresler/status/1971247980050333790,tweet_id:1971247980050333790
Hammad Azhar,@Hammad_Azhar,2025-09-26T08:49:26.000Z,True,"Pakistan is treading the age old foreign policy manual for fascist regimes. Rig elections, oppress your ppl then desperately make yourself useful to a superpower for international validation. Starts well but always ends ugly. Same script every time. Remember the folks below?",71,717,2.3K,32K,[],[],[],https://pbs.twimg.com/profile_images/1601125195040833537/5otbZvL0_bigger.jpg,https://x.com/Hammad_Azhar/status/1971497327409181173,tweet_id:1971497327409181173
Philippine Collegian,@phkule,2025-09-26T06:14:31.000Z,True,"JUST IN: UP is set to receive a further P1 billion hike in its budget, from the P255 billion reallocated from the Department of Public Works and Highways by the House Committee on Appropriations. The university’s proposed budget in the House now stands at P26.8 billion.

The",8,138,794,29K,[],[],[],https://pbs.twimg.com/profile_images/1969390397886775306/TlXxGD0J_bigger.jpg,https://x.com/phkule/status/1971458341210816722,tweet_id:1971458341210816722
The Philippine Star,@PhilippineStar,2025-09-20T22:30:00.000Z,True,"“Lalakas pa ang tinig ng paghihimagsik, iigting pa ang tapang ng masang Pilipino… hanggang sa makamit ng sambayanan ang tunay at ganap na Kalayaan.”
― Lualhati Bautista, Dekada '70",18,6.8K,15K,277K,[],[],[],https://pbs.twimg.com/profile_images/1610869121268469761/0JG_WM7k_bigger.jpg,https://x.com/PhilippineStar/status/1969529503517945953,tweet_id:1969529503517945953
The Philippine Star,@PhilippineStar,2025-09-21T07:53:13.000Z,True,"'40 CARS? KAPATID KO NGA, TATLO LANG BRIEF!' A protester was seen holding a placard with a witty message referencing controversial contractor Sarah Discaya’s luxury cars during the protest at Rizal Park in Manila on Sunday.

Uploader Demielle Abilon shared on Facebook a photo",20,1.3K,6.6K,176K,[],[],['\\U0001f644'],https://pbs.twimg.com/profile_images/1610869121268469761/0JG_WM7k_bigger.jpg,https://x.com/PhilippineStar/status/1969671241754951778,tweet_id:1969671241754951778
Lithuania MFA | #StandWithUkraine,@LithuaniaMFA,2025-09-16T15:13:14.000Z,True,"Lithuania strongly condemns Russia's ""elections"" organized in a Russia-occupied part of Ukraine – the city of Sevastopol. Neither ""elections"" nor their ""results"" would bring any legality or legitimacy to what is in total breach of international law. #CrimeaIsUkraine",343,1K,5.9K,94K,['#CrimeaIsUkraine'],[],[],https://pbs.twimg.com/profile_images/1496741167580467202/jkQduY0F_bigger.jpg,https://x.com/LithuaniaMFA/status/1967970035865100589,tweet_id:1967970035865100589
M. Nageswara Rao IPS (Retired),@MNageswarRaoIPS,2025-09-25T05:45:19.000Z,True,"Dear Election Commission of India,

Prime Minister Narendra Modi's brazen transfer of Rs. 10,000 crore in public funds to 75 lakh women in Bihar on the cusp of the state assembly elections is a flagrant act of mass bribery. This deliberate misuse and abuse of public resources",671,3.7K,11K,585K,[],[],[],https://pbs.twimg.com/profile_images/1554028090128445440/ne169rAL_bigger.jpg,https://x.com/MNageswarRaoIPS/status/1971088605880910299,tweet_id:1971088605880910299
Philippine Concerts,@philconcerts,2025-09-26T11:58:05.000Z,True,Crowd for Klarisse de Guzman's The Big Night at The Big Dome.,1,9,26,724,[],[],[],https://pbs.twimg.com/profile_images/1649384647925858306/F04lZn7j_bigger.jpg,https://x.com/philconcerts/status/1971544803059093613,tweet_id:1971544803059093613
The Philippine Star,@PhilippineStar,2025-09-21T14:08:01.000Z,True,"'MAY PERMIT BA ANG PAGNANAKAW? WALA! '

A verbal altercation broke out between Tacloban City police and food delivery riders who were blocked from joining a larger rally at the city's freedom park.

The rally, organized by the multisectoral group Leyte Aksyon Laban sa Korapsyon,",134,7.7K,22K,1.3M,[],[],[],https://pbs.twimg.com/profile_images/1610869121268469761/0JG_WM7k_bigger.jpg,https://x.com/PhilippineStar/status/1969765563301032167,tweet_id:1969765563301032167
News5,@News5PH,2025-09-26T10:41:18.000Z,True,"MAS 'EQUIPPED' PA SA PCG?

Ikinalungkot ni Philippine Coast Guard (PCG) Spokesperson for the West Philippine Sea Cmdr. Jay Tarriela ang ulat na bilyon-bilyong pisong halaga ng air assets ang konektado umano kay Ako Bicol Rep. Zaldy Co.

“It is an open book that the [PCG] is",3,23,52,2.1K,[],[],[],https://pbs.twimg.com/profile_images/1395577754511237121/LMCpXJaq_bigger.jpg,https://x.com/News5PH/status/1971525482035429551,tweet_id:1971525482035429551
Acyn,@Acyn,2025-09-25T15:44:23.000Z,True,Trump: Rigged election. *points to Erdogan* He knows about rigged elections better than anybody.,1.7K,15K,86K,23M,[],[],[],https://pbs.twimg.com/profile_images/1332231334761119745/wMzlpuHi_bigger.jpg,https://x.com/Acyn/status/1971239367172817119,tweet_id:1971239367172817119
Institute for the Study of War,@TheStudyofWar,2025-09-25T18:40:26.000Z,True,"WARNING UPDATE: The Kremlin is setting conditions to generate possibly violent protests to remove Moldovan President Maia Sandu from power following the September 28 Moldovan parliamentary elections. 

Recent polling within Moldova suggests that the pro-Western Party of Action",36,755,1.6K,261K,[],[],[],https://pbs.twimg.com/profile_images/631572279722442753/6O1oMGEX_bigger.png,https://x.com/TheStudyofWar/status/1971283673019285532,tweet_id:1971283673019285532
Nicest Guy,@theniceguy27,2025-05-12T15:55:21.000Z,False,"For the first time in Philippine election history, the victory of the second-ranked senator is getting more attention and celebration than the top spot.#Halalan2025 #Eleksyon2025 #Election2025PH",223,850,8.3K,244K,"['#Halalan2025', '#Eleksyon2025', '#Election2025PH']",[],[],https://pbs.twimg.com/profile_images/1969704854533861376/AVWpZX7t_bigger.jpg,https://x.com/theniceguy27/status/1921957374635520233,tweet_id:1921957374635520233
AlterMidya,@altermidya,2025-09-22T09:35:42.000Z,True,"In New York City, progressive groups held a protest outside the Philippine Consulate on the anniversary of Martial Law, denouncing corruption, and political  dynasties in the Philippines. The protest was led by BAYAN USA, Malaya Movement USA, Anakbayan-USA, and GABRIELA USA.",7,1.5K,7.5K,443K,[],[],[],https://pbs.twimg.com/profile_images/1653556776732860416/IHGMelPH_bigger.jpg,https://x.com/altermidya/status/1970059421192786402,tweet_id:1970059421192786402
DOJ Civil Rights Division,@CivilRights,2025-09-25T18:01:19.000Z,True,"Justice Department Sues Six States for Failure to Provide Voter Registration Rolls

“States are required to safeguard American elections by complying with our federal elections laws,” said . “Clean voter rolls protect American citizens from voting fraud and abuse, and",175,567,1.7K,527K,[],['@AAGDhillon'],[],https://pbs.twimg.com/profile_images/1712137136617488384/C1l23ubN_bigger.jpg,https://x.com/CivilRights/status/1971273825384816964,tweet_id:1971273825384816964
News5,@News5PH,2025-09-19T05:05:05.000Z,True,"UNITEAM RECEIVES DONATIONS FROM CONTRACTORS?

Nakatanggap ang dating UniTeam tandem na sina Pres. Bongbong Marcos at Vice Pres. Sara Duterte ng milyun-milyong donasyon mula sa contractors nang tumakbo sa 2022 national elections, ayon sa ulat ng Philippine Center for Investigative",166,1K,2.4K,139K,[],[],[],https://pbs.twimg.com/profile_images/1395577754511237121/LMCpXJaq_bigger.jpg,https://x.com/News5PH/status/1968904153557832122,tweet_id:1968904153557832122
Attorney Michael E. Gates,@MichaelGatesESQ,2025-09-17T01:13:11.000Z,True,"Cleaning voter rolls!  Lawsuits against Oregon and Maine - just getting started!  Election integrity depends on clean elections systems, and to date, there has been little to no enforcement of critical federal statutes [NVRA & HAVA].  Thanks to the bold and fearless leadership of",60,302,1.1K,28K,[],[],[],https://pbs.twimg.com/profile_images/1893686760363663360/SBPftpxI_bigger.jpg,https://x.com/MichaelGatesESQ/status/1968121020553761078,tweet_id:1968121020553761078
AlterMidya,@altermidya,2025-09-21T00:22:39.000Z,True,"Maris Racal protests: Lahat ng korap, dapat managot!

LOOK: Film and television star Maris Racal joins the protest action in Manila today. She marches with the Philippine-Palestine Friendship Association, bearing the call to hold all involved in government corruption to account.",36,2.9K,20K,384K,[],[],[],https://pbs.twimg.com/profile_images/1653556776732860416/IHGMelPH_bigger.jpg,https://x.com/altermidya/status/1969557851250311639,tweet_id:1969557851250311639
Attorney Michael E. Gates,@MichaelGatesESQ,2025-09-25T18:47:10.000Z,True,"Just sued California in addition to Pennsylvania, New York, Michigan, New Hampshire, and Minnesota!  CLEAN VOTER ROLLS = CLEAN ELECTIONS! @ leadership of   ",1K,6.7K,24K,243K,[],"['@HarmeetKDhillon', '@CivilRights']","['\\U0001f6a8', '\\U0001f1fa\\U0001f1f8', '\\U0001f1fa\\U0001f1f8', '\\U0001f1fa\\U0001f1f8', '\\U0001f1fa\\U0001f1f8', '\\U0001f1fa\\U0001f1f8', '\\U0001f1fa\\U0001f1f8']",https://pbs.twimg.com/profile_images/1893686760363663360/SBPftpxI_bigger.jpg,https://x.com/MichaelGatesESQ/status/1971285366264168872,tweet_id:1971285366264168872
U.S. Marines,@USMC,2025-09-22T18:00:04.000Z,True,"#Marines with  take part in a combat rubber reconnaissance craft training with the Ohio-class guided-missile submarine USS Ohio (SSGN 726), in the Philippine Sea.

The exercise is part of ongoing  and U.S. 7th Fleet efforts to provide flexible,",37,127,511,21K,['#Marines'],"['@3d_Marine_Div', '@IIIMEF']",[],https://pbs.twimg.com/profile_images/884816068409249792/btbVWFFA_bigger.jpg,https://x.com/USMC/status/1970186347928293744,tweet_id:1970186347928293744
Meminescu,@MeminescuTop,2025-09-22T07:54:02.000Z,True,"Russia is burning huge sums of money to buy votes and influence in Moldova for the elections next week, in a desperate attempt to keep the country in its fangs. At the edge of Europe a shield maiden is fighting the Beast from the East for freedom, for Europe and the future of her",201,672,3.7K,93K,[],[],[],https://pbs.twimg.com/profile_images/1963248628677419008/9q1VBwuV_bigger.jpg,https://x.com/MeminescuTop/status/1970033836546216388,tweet_id:1970033836546216388
BarVee,@LittleBarVee,2025-09-23T12:38:55.000Z,True,"Ang mahalaga: “NATUTO na po ako. I will continue to learn and grow.”

We want to win in the 2028 elections, right? Then let’s welcome everyone who’s had a change of heart, instead of bashing them.

I’ve been a Kakampink since I started voting, and I even have friends who voted",99,2K,13K,1.2M,[],[],[],https://pbs.twimg.com/profile_images/1942785752934313984/ee8Yh8aN_bigger.jpg,https://x.com/LittleBarVee/status/1970467916744138790,tweet_id:1970467916744138790
Paul St-Pierre Plamondon,@PaulPlamondon,2025-09-24T17:10:30.000Z,True,"Le message qu'on a en vue des prochaines élections est le suivant: l'État québécois va devoir recentrer ses activités sur ce qu'il y a de fondamental comme soigner notre monde, s'occuper de nos tout-petits et s'occuper des aînés. Il va falloir faire des choix difficiles sur les",76,131,409,32K,[],[],[],https://pbs.twimg.com/profile_images/1561639293109653506/3jSM08PN_bigger.jpg,https://x.com/PaulPlamondon/status/1970898651628159106,tweet_id:1970898651628159106
Philippine Collegian,@phkule,2025-09-21T17:47:00.000Z,True,"WATCH: The mother of an apprehended protester—whose video of them being throw around by the police at Mendiola, Sunday afternoon, circulated on social media—is in tears as she waits outside the Manila Police Department UN Headquarters.

She found out her child was at the protest",98,3.3K,12K,2.5M,[],[],[],https://pbs.twimg.com/profile_images/1969390397886775306/TlXxGD0J_bigger.jpg,https://x.com/phkule/status/1969820670776459478,tweet_id:1969820670776459478
Volleytrails,@volleytrails,2025-09-23T10:01:33.000Z,True,"The  Philippine National Volleyball Federation (PNVF) and AVC President Tats Suzara has announced a seven-year development plan for the  Philippine men’s and women’s national volleyball teams, in partnership with the FIVB.#VolleyballWorldChampionship #MWCH #volleyball",20,439,2.4K,123K,"['#VolleyballWorldChampionship', '#MWCH', '#volleyball']",[],['\\U0001f1f5\\U0001f1ed'],https://pbs.twimg.com/profile_images/1629498941611057153/rdLhvKos_bigger.jpg,https://x.com/volleytrails/status/1970428313593356669,tweet_id:1970428313593356669
LENTE Philippines,@lente_ph,2025-09-26T04:24:40.000Z,True,READ: LENTE Calls on COMELEC to Proceed with the 2025 BARMM Parliamentary Elections; TRO Does Not Justify Postponement of Elections for Party and Sectoral Representatives,1,3,4,263,[],[],[],https://pbs.twimg.com/profile_images/1472101542199128064/vAB26U6O_bigger.jpg,https://x.com/lente_ph/status/1971430696070828205,tweet_id:1971430696070828205
Tep,@not_skcsantoss,2025-05-12T13:23:39.000Z,False," Bam and Kiko making it to the Top 12 Senate list Akbayan leading the party-list race Atty. Leni and Mayor Vico winning their local races for Mayor CYNTHIA VILLAR LOSING HER CONGRESS SEAT

MAY LIWANAG ANG BUKAS  #Halalan2025",33,8.8K,28K,499K,['#Halalan2025'],[],"['\\u2705', '\\u2705', '\\u2705', '\\u2705', '\\U0001f979', '\\U0001f496']",https://pbs.twimg.com/profile_images/1947701347400486914/NigtW24d_bigger.jpg,https://x.com/not_skcsantoss/status/1921919199724589547,tweet_id:1921919199724589547
The Philippine Star,@PhilippineStar,2025-09-20T01:39:42.000Z,True,"Tropical Storm #NandoPH is expected to intensify into a typhoon this weekend and may reach super typhoon strength by early next week, raising the possibility of the highest tropical cyclone wind warning – Signal No. 5 – being hoisted over parts of Northern Luzon, according to the",15,396,1.3K,142K,['#NandoPH'],[],[],https://pbs.twimg.com/profile_images/1610869121268469761/0JG_WM7k_bigger.jpg,https://x.com/PhilippineStar/status/1969214856088994066,tweet_id:1969214856088994066
knick,@Knick_RSA,2025-09-25T21:43:26.000Z,True,"No party Wants to Touch this matter of Illegal Foreigners it’s only Action SA and Operation Dudula.

Let that Reflect very well on The Ballot of local Government Elections in 2026.",83,361,1.7K,27K,[],[],[],https://pbs.twimg.com/profile_images/1593868555669348352/gRZv6UzW_bigger.jpg,https://x.com/Knick_RSA/status/1971329722786382281,tweet_id:1971329722786382281
Manila Bulletin News,@manilabulletin,2025-09-20T03:15:06.000Z,True,"President Marcos has announced that the government will return P60 billion to the Philippine Health Insurance Corporation (PhilHealth), assuring the public that the funds will be used to expand services and strengthen the state insurer’s operations.

READ: mb.com.ph/2025/09/20/mar
…",72,25,192,20K,[],[],[],https://pbs.twimg.com/profile_images/1923784408261115904/4xsy25CI_bigger.jpg,https://x.com/manilabulletin/status/1969238862955167936,tweet_id:1969238862955167936
Lawyers For Justice Ireland,@LFJIreland,2025-09-24T12:14:27.000Z,True,We need the largest ever SPOILED VOTE #NotMyPresident campaign that Ireland has ever seen to send a clear message to the establishment that the people of Ireland do not recognise the legitimacy of the presidential elections as we have been denied the right to directly vote for,166,484,2.1K,54K,['#NotMyPresident'],[],[],https://pbs.twimg.com/profile_images/1466212666763001857/cgzmustt_bigger.jpg,https://x.com/LFJIreland/status/1970824148336181299,tweet_id:1970824148336181299
Rommel Lopez,@RommelFLopez,2025-09-23T07:16:13.000Z,False,Retweet if you agree that the Senate and the Philippine government should start investigating RODANTE MARCOLETA.,247,10K,24K,555K,[],[],[],https://pbs.twimg.com/profile_images/1937426790953242624/CryNz9If_bigger.jpg,https://x.com/RommelFLopez/status/1970386705585934765,tweet_id:1970386705585934765
African Centre for Parliamentary Affairs (ACEPA),@AcepaAfrica,2025-09-26T09:24:42.000Z,False,"DID YOU KNOW?

According to the Global State of Democracy 2025 by International IDEA, the Philippines has taken a major step toward strengthening democratic participation by introducing an online voting system ahead of the 12 May 2025 midterm elections. #acepa #FactFriday",0,0,0,6,"['#acepa', '#FactFriday']",[],[],https://pbs.twimg.com/profile_images/1638628447856517128/blY_tzhs_bigger.jpg,https://x.com/AcepaAfrica/status/1971506203223265719,tweet_id:1971506203223265719
PULP Live World,@pulpliveworld,2025-09-26T03:38:19.000Z,True,"Feeling like you need a little detox, ONE OK ROCK fans?  Well… we’ve got exactly what you’ve been waiting for!  After their massive sold-out show in 2023,  is finally coming back to the Philippine stage to make history once again and give you the rush, the",64,916,1K,90K,[],['@ONEOKROCK_japan'],"['\\U0001f440', '\\U0001f4a5']",https://pbs.twimg.com/profile_images/900670567317221376/6mgPuE3Y_bigger.jpg,https://x.com/pulpliveworld/status/1971419032277614882,tweet_id:1971419032277614882
Joseph Pedrajas,@josephpedrajas,2025-09-21T07:29:54.000Z,False,"WATCH: Miss Universe 2018 Catriona Gray joins the crowd of protesters on EDSA. “Ikulong na yan, mga kurakot,” she chants as she waives the Philippine flag. ",59,12K,52K,1.5M,[],['@manilabulletin'],[],https://pbs.twimg.com/profile_images/1968590748510748672/jpbfvdoX_bigger.jpg,https://x.com/josephpedrajas/status/1969665376335380976,tweet_id:1969665376335380976
